ID,Age_Years,Age_Months,Birthday,Test_Date ,Gender,Test_Location,Trial_Number,Positive_Video_Side,Positive_Video_Name,Negative_Video_Name,Fam_Right_Box,Opens_LeftVideo,Opens_RightVideo,LeftVideo_Height,RightVideo_Height,LeftVideo_Time,RightVideo_Time,Number_Switches
1_4F_Oak,4,54,4/30/19,11/23/23,F,Zoo,1,Left,Play_F1,Conflict_F1,1,1,1,6,8,7,3,1
1_4F_Oak,4,54,4/30/19,11/23/23,F,Zoo,2,Left,Grooming_F1,Cry_F1,1,1,1,8,6,6,4,1
1_4F_Oak,4,54,4/30/19,11/23/23,F,Zoo,3,Left,Play_F2,Conflict_F2,1,1,1,6,6,5,12,1
1_4F_Oak,4,54,4/30/19,11/23/23,F,Zoo,4,Left,Grooming_F2,Cry_F2,1,1,1,6,6,10,5,1
10_6F_LHS,6,76,7/17/17,11/22/23,F,LHS,1,Right,Play_F2,Conflict_F2,1,1,0,8,0,19,0,0
10_6F_LHS,6,76,7/17/17,11/22/23,F,LHS,2,Right,Grooming_F1,Cry_F1,1,1,1,8,8,5,15,1
10_6F_LHS,6,76,7/17/17,11/22/23,F,LHS,3,Right,Play_F1,Conflict_F1,1,1,1,10,10,6,15,1
10_6F_LHS,6,76,7/17/17,11/22/23,F,LHS,4,Right,Grooming_F2,Cry_F2,1,0,1,0,10,0,27,0
11_5F_LHS,5,60,10/26/18,11/22/23,F,LHS,1,Right,Grooming_F1,Conflict_F2,1,1,1,6,6,9,10,1
11_5F_LHS,5,60,10/26/18,11/22/23,F,LHS,2,Right,Play_F1,Cry_F1,1,1,1,8,8,9,20,1
11_5F_LHS,5,60,10/26/18,11/22/23,F,LHS,3,Right,Grooming_F2,Conflict_F1,1,1,1,8,8,12,15,1
11_5F_LHS,5,60,10/26/18,11/22/23,F,LHS,4,Right,Play_F2,Cry_F2,1,1,1,8,8,22,4,1
12_6F_LHS,6,73,9/30/17,11/22/23,F,LHS,1,Right,Grooming_F1,Cry_F2,1,1,1,10,6,18,8,1
12_6F_LHS,6,73,9/30/17,11/22/23,F,LHS,2,Right,Play_F2,Conflict_F2,1,1,1,8,8,19,7,1
12_6F_LHS,6,73,9/30/17,11/22/23,F,LHS,3,Right,Grooming_F1,Cry_F2,1,1,1,10,8,12,15,1
12_6F_LHS,6,73,9/30/17,11/22/23,F,LHS,4,Right,Play_F1,Conflict_F1,1,1,1,10,6,18,9,1
13_4F_LHS,4,51,7/31/19,11/22/23,F,LHS,1,Right,Play_F2,Conflict_F2,1,1,1,8,8,21,4,1
13_4F_LHS,4,51,7/31/19,11/22/23,F,LHS,2,Right,Grooming_F1,Cry_F1,1,1,1,8,8,11,13,1
13_4F_LHS,4,51,7/31/19,11/22/23,F,LHS,3,Right,Play_F1,Conflict_F1,1,1,1,8,8,11,13,1
13_4F_LHS,4,51,7/31/19,11/22/23,F,LHS,4,Right,Grooming_F2,Cry_F2,1,1,1,8,10,21,4,1
14_4F_ZOO,4,51,8/14/19,12/3/23,F,Zoo,1,Right,Grooming_F1,Cry_F1,1,1,1,6,10,10,11,1
14_4F_ZOO,4,51,8/14/19,12/3/23,F,Zoo,2,Right,Play_F1,Conflict_F1,1,1,1,6,8,9,4,1
14_4F_ZOO,4,51,8/14/19,12/3/23,F,Zoo,3,Right,Grooming_F2,Cry_F2,1,1,1,6,8,8,7,1
14_4F_ZOO,4,51,8/14/19,12/3/23,F,Zoo,4,Right,Play_F2,Conflict_F2,1,1,1,6,8,12,7,1
15_4F_ZOO,4,48,11/13/19,12/3/23,F,Zoo,1,Right,Grooming_F2,Cry_F2,1,0,1,0,6,0,22,0
15_4F_ZOO,4,48,11/13/19,12/3/23,F,Zoo,2,Right,Play_F2,Conflict_F1,1,0,1,0,6,0,17,0
15_4F_ZOO,4,48,11/13/19,12/3/23,F,Zoo,3,Right,Grooming_F1,Conflict_F2,1,1,0,6,0,24,0,0
15_4F_ZOO,4,48,11/13/19,12/3/23,F,Zoo,4,Right,Play_F1,Cry_F1,1,0,1,0,6,0,25,0
16_6F_ZOO,6,80,3/6/17,12/3/23,F,Zoo,1,Right,Grooming_F2,Cry_F2,1,0,1,0,6,0,25,0
16_6F_ZOO,6,80,3/6/17,12/3/23,F,Zoo,2,Right,Play_F2,Conflict_F2,1,0,1,0,6,0,26,0
16_6F_ZOO,6,80,3/6/17,12/3/23,F,Zoo,3,Right,Grooming_F1,Cry_F1,1,0,1,0,6,0,27,0
16_6F_ZOO,6,80,3/6/17,12/3/23,F,Zoo,4,Right,Play_F1,Conflict_F1,1,1,1,6,6,8,14,2
2_6F_Oak,6,75,8/8/17,11/23/23,F,Zoo,1,Left,Play_F2,Conflict_F2,1,1,0,10,0,18,0,0
2_6F_Oak,6,75,8/8/17,11/23/23,F,Zoo,2,Left,Grooming_F2,Cry_F2,1,0,1,0,12,0,28,0
2_6F_Oak,6,75,8/8/17,11/23/23,F,Zoo,3,Left,Play_F1,Conflict_F1,1,1,0,10,0,24,0,0
2_6F_Oak,6,75,8/8/17,11/23/23,F,Zoo,4,Left,Grooming_F1,Cry_F1,1,0,1,0,12,0,26,0
3_4F_Zoo,4,56,3/5/19,11/23/23,F,Zoo,1,Left,Grooming_F1,Cry_F1,1,0,1,0,8,0,24,0
3_4F_Zoo,4,56,3/5/19,11/23/23,F,Zoo,2,Left,Play_F1,Conflict_F1,1,1,0,8,0,27,0,0
3_4F_Zoo,4,56,3/5/19,11/23/23,F,Zoo,3,Left,Grooming_F2,Cry_F2,1,0,1,0,8,0,26,0
3_4F_Zoo,4,56,3/5/19,11/23/23,F,Zoo,4,Left,Play_F2,Conflict_F2,1,1,0,8,0,29,0,0
4_5F_Zoo,5,61,9/25/18,11/18/23,F,Zoo,1,Left,Grooming_F2,Cry_F2,1,0,1,0,8,0,26,0
4_5F_Zoo,5,61,9/25/18,11/18/23,F,Zoo,2,Left,Play_F2,Conflict_F2,1,1,0,12,0,26,0,0
4_5F_Zoo,5,61,9/25/18,11/18/23,F,Zoo,3,Left,Grooming_F1,Cry_F1,1,0,1,0,10,0,27,0
4_5F_Zoo,5,61,9/25/18,11/18/23,F,Zoo,4,Left,Play_F1,Conflict_F1,1,1,0,12,0,27,0,0
5_6F_Zoo,6,73,9/29/17,11/18/23,F,Zoo,1,Left,Play_F1,Conflict_F1,1,0,1,0,8,0,29,0
5_6F_Zoo,6,73,9/29/17,11/18/23,F,Zoo,2,Left,Grooming_F2,Cry_F2,1,1,0,10,0,25,0,0
5_6F_Zoo,6,73,9/29/17,11/18/23,F,Zoo,3,Left,Play_F2,Conflict_F2,1,1,0,6,0,26,0,0
5_6F_Zoo,6,73,9/29/17,11/18/23,F,Zoo,4,Left,Grooming_F1,Cry_F1,1,0,1,0,10,0,28,0
6_6F_Zoo,6,82,1/6/17,11/19/23,F,Zoo,1,Left,Play_F2,Conflict_F2,1,1,0,6,0,24,0,0
6_6F_Zoo,6,82,1/6/17,11/19/23,F,Zoo,2,Left,Grooming_F2,Cry_F2,1,1,0,6,0,23,0,0
6_6F_Zoo,6,82,1/6/17,11/19/23,F,Zoo,3,Left,Play_F1,Conflict_F1,1,1,0,6,0,25,0,0
6_6F_Zoo,6,82,1/6/17,11/19/23,F,Zoo,4,Left,Grooming_F1,Cry_F1,1,0,1,0,6,0,28,0
7_6F_Zoo,6,79,3/25/17,11/19/23,F,Zoo,1,Left,Grooming_F1,Cry_F1,1,1,1,8,8,3,14,1
7_6F_Zoo,6,79,3/25/17,11/19/23,F,Zoo,2,Left,Play_F2,Conflict_F2,1,1,0,8,0,28,0,0
7_6F_Zoo,6,79,3/25/17,11/19/23,F,Zoo,3,Left,Grooming_F2,Conflict_F2,1,0,1,0,8,0,29,0
7_6F_Zoo,6,79,3/25/17,11/19/23,F,Zoo,4,Left,Play_F1,Conflict_F1,1,1,0,10,0,26,0,0
8_6F_Zoo,6,81,1/27/17,11/19/23,F,Zoo,1,Left,Grooming_F2,Cry_F2,1,1,0,8,0,27,0,0
8_6F_Zoo,6,81,1/27/17,11/19/23,F,Zoo,2,Left,Play_F1,Conflict_F1,1,1,0,8,0,27,0,0
8_6F_Zoo,6,81,1/27/17,11/19/23,F,Zoo,3,Left,Grooming_F1,Cry_F1,1,1,0,8,0,25,0,0
8_6F_Zoo,6,81,1/27/17,11/19/23,F,Zoo,4,Left,Play_F2,Conflict_F2,1,0,1,0,8,0,27,0
9_6F_LHS,6,76,7/2/17,11/22/23,F,LHS,1,Right,Play_F1,Conflict_F1,1,1,1,6,6,1,24,1
9_6F_LHS,6,76,7/2/17,11/22/23,F,LHS,2,Right,Grooming_F2,Cry_F2,1,1,1,6,8,13,13,1
9_6F_LHS,6,76,7/2/17,11/22/23,F,LHS,3,Right,Play_F2,Conflict_F2,1,1,1,8,8,15,10,1
9_6F_LHS,6,76,7/2/17,11/22/23,F,LHS,4,Right,Grooming_F1,Cry_F1,1,1,1,6,6,9,17,1
1_4M_Oak,4,53,6/1/19,11/11/23,M,Zoo,1,Left,Play_M1,Conflict_M1,1,1,0,10,0,23,0,0
1_4M_Oak,4,53,6/1/19,11/11/23,M,Zoo,2,Left,Grooming_M1,Cry_M1,1,1,0,10,0,23,0,0
1_4M_Oak,4,53,6/1/19,11/11/23,M,Zoo,3,Left,Play_M2,Conflict_M2,1,0,1,0,12,0,24,0
1_4M_Oak,4,53,6/1/19,11/11/23,M,Zoo,4,Left,Grooming_M2,Cry_M2,1,0,1,0,12,0,25,0
10_6M_LHS,6,79,3/31/17,11/22/23,M,LHS,1,Right,Play_M2,Cry_M2,1,1,1,8,8,9,7,2
10_6M_LHS,6,79,3/31/17,11/22/23,M,LHS,2,Right,Grooming_M1,Conflict_M2,1,1,1,8,12,25,3,1
10_6M_LHS,6,79,3/31/17,11/22/23,M,LHS,3,Right,Play_M1,Cry_M1,1,1,1,10,10,13,8,2
10_6M_LHS,6,79,3/31/17,11/22/23,M,LHS,4,Right,Grooming_M2,Conflict_M1,1,1,1,8,10,19,8,1
12_4M_LHS,4,58,1/1/19,11/22/23,M,LHS,1,Right,Grooming_M2,Cry_M2,1,1,0,6,0,26,0,0
12_4M_LHS,4,58,1/1/19,11/22/23,M,LHS,2,Right,Play_M2,Conflict_M2,1,1,0,8,0,27,0,0
12_4M_LHS,4,58,1/1/19,11/22/23,M,LHS,3,Right,Grooming_M1,Cry_M1,1,1,1,6,10,4,21,1
12_4M_LHS,4,58,1/1/19,11/22/23,M,LHS,4,Right,Play_M1,Conflict_M1,1,0,1,0,10,0,23,0
13_6M_ZOO,6,75,8/17/17,12/3/23,M,Zoo,1,Right,Play_M2,Conflict_M2,1,1,0,8,0,19,0,0
13_6M_ZOO,6,75,8/17/17,12/3/23,M,Zoo,2,Right,Grooming_M1,Cry_M1,1,1,0,8,0,21,0,0
13_6M_ZOO,6,75,8/17/17,12/3/23,M,Zoo,3,Right,Play_M1,Conflict_M1,1,1,0,8,0,20,0,0
13_6M_ZOO,6,75,8/17/17,12/3/23,M,Zoo,4,Right,Grooming_M2,Cry_M2,1,1,0,10,0,23,0,0
14_5M_ZOO,5,61,10/23/18,12/3/23,M,Zoo,1,Right,Grooming_M1,Cry_M1,1,0,1,0,10,0,22,0
14_5M_ZOO,5,61,10/23/18,12/3/23,M,Zoo,2,Right,Play_M1,Conflict_M1,1,1,1,10,10,17,8,1
14_5M_ZOO,5,61,10/23/18,12/3/23,M,Zoo,3,Right,Grooming_M2,Cry_M2,1,0,1,0,12,0,27,0
14_5M_ZOO,5,61,10/23/18,12/3/23,M,Zoo,4,Right,Play_M2,Conflict_M2,1,1,1,10,10,7,17,2
15_5M_ZOO,5,63,8/15/18,12/3/23,M,Zoo,1,Right,Grooming_M2,Cry_M2,1,1,0,12,0,25,0,0
15_5M_ZOO,5,63,8/15/18,12/3/23,M,Zoo,2,Right,Play_M2,Conflict_M1,1,0,1,0,10,0,28,0
15_5M_ZOO,5,63,8/15/18,12/3/23,M,Zoo,3,Right,Grooming_M1,Conflict_M2,1,0,1,0,10,0,24,0
15_5M_ZOO,5,63,8/15/18,12/3/23,M,Zoo,4,Right,Play_M1,Cry_M1,1,0,1,0,10,0,28,0
2_5M_Zoo,5,63,7/13/18,11/11/23,M,Zoo,1,Left,Play_M2,Conflict_M2,1,1,1,6,8,4,12,2
2_5M_Zoo,5,63,7/13/18,11/11/23,M,Zoo,2,Left,Grooming_M2,Cry_M2,1,1,1,8,10,10,10,3
2_5M_Zoo,5,63,7/13/18,11/11/23,M,Zoo,3,Left,Play_M1,Conflict_M1,1,1,1,8,8,5,17,2
2_5M_Zoo,5,63,7/13/18,11/11/23,M,Zoo,4,Left,Grooming_M1,Cry_M1,1,1,1,10,8,7,11,1
3_4M_Zoo,4,51,8/5/19,11/11/23,M,Zoo,1,Left,Grooming_M1,Cry_M1,1,1,0,8,0,28,0,0
3_4M_Zoo,4,51,8/5/19,11/11/23,M,Zoo,2,Left,Play_M1,Conflict_M1,1,1,0,10,0,29,0,0
3_4M_Zoo,4,51,8/5/19,11/11/23,M,Zoo,3,Left,Grooming_M2,Cry_M2,1,1,0,10,0,29,0,0
3_4M_Zoo,4,51,8/5/19,11/11/23,M,Zoo,4,Left,Play_M2,Conflict_M2,1,1,0,10,0,28,0,0
4_4M_Zoo,4,49,10/4/19,11/18/23,M,Zoo,1,Left,Grooming_M2,Cry_M2,1,1,1,12,10,6,9,5
4_4M_Zoo,4,49,10/4/19,11/18/23,M,Zoo,2,Left,Play_M2,Conflict_M2,1,1,1,12,12,8,7,1
4_4M_Zoo,4,49,10/4/19,11/18/23,M,Zoo,3,Left,Grooming_M1,Cry_M1,1,1,1,12,12,5,7,6
4_4M_Zoo,4,49,10/4/19,11/18/23,M,Zoo,4,Left,Play_M1,Conflict_M1,1,1,1,12,12,7,4,2
5_5M_Zoo,5,66,4/25/18,11/19/23,M,Zoo,1,Right,Grooming_M2,Conflict_M1,1,1,0,6,0,27,0,0
5_5M_Zoo,5,66,4/25/18,11/19/23,M,Zoo,2,Right,Play_M1,Cry_M2,1,0,1,0,8,0,28,0
5_5M_Zoo,5,66,4/25/18,11/19/23,M,Zoo,3,Right,Play_M2,Conflict_M2,1,1,0,8,0,29,0,0
5_5M_Zoo,5,66,4/25/18,11/19/23,M,Zoo,4,Right,Grooming_M1,Cry_M1,1,0,1,0,8,0,25,0
6_6M_Zoo,6,76,7/11/17,11/18/23,M,Zoo,1,Left,Play_M2,Conflict_M2,1,1,0,8,0,26,0,0
6_6M_Zoo,6,76,7/11/17,11/18/23,M,Zoo,2,Left,Grooming_M2,Cry_M2,1,0,1,0,8,0,24,0
6_6M_Zoo,6,76,7/11/17,11/18/23,M,Zoo,3,Left,Play_M1,Conflict_M1,1,1,0,8,0,28,0,0
6_6M_Zoo,6,76,7/11/17,11/18/23,M,Zoo,4,Left,Grooming_M1,Cry_M1,1,0,1,0,8,0,29,0
7_4M_Zoo,4,54,5/6/19,11/19/23,M,Zoo,1,Left,Grooming_M1,Cry_M1,1,0,1,0,8,0,25,0
7_4M_Zoo,4,54,5/6/19,11/19/23,M,Zoo,2,Left,Play_M2,Conflict_M2,1,0,1,0,12,0,24,0
7_4M_Zoo,4,54,5/6/19,11/19/23,M,Zoo,3,Left,Grooming_M2,Cry_M2,1,1,1,2,10,1,19,1
7_4M_Zoo,4,54,5/6/19,11/19/23,M,Zoo,4,Left,Play_M1,Conflict_M1,1,0,1,0,12,0,27,0
8_4M_Zoo,4,56,2/20/19,11/19/23,M,Zoo,1,Right,Grooming_M2,Cry_M2,1,1,1,8,8,3,22,1
8_4M_Zoo,4,56,2/20/19,11/19/23,M,Zoo,2,Right,Play_M1,Conflict_M1,1,1,1,8,8,20,2,2
8_4M_Zoo,4,56,2/20/19,11/19/23,M,Zoo,3,Right,Grooming_M1,Cry_M1,1,1,1,10,10,3,22,2
8_4M_Zoo,4,56,2/20/19,11/19/23,M,Zoo,4,Right,Play_M2,Conflict_M2,1,1,1,10,10,21,2,2
9_5M_Zoo,5,63,7/29/18,11/19/23,M,Zoo,1,Right,Play_M1,Conflict_M1,1,1,0,8,0,22,0,0
9_5M_Zoo,5,63,7/29/18,11/19/23,M,Zoo,2,Right,Grooming_M2,Cry_M2,1,0,1,0,8,0,24,0
9_5M_Zoo,5,63,7/29/18,11/19/23,M,Zoo,3,Right,Play_M2,Conflict_M2,1,1,0,8,0,27,0,0
9_5M_Zoo,5,63,7/29/18,11/19/23,M,Zoo,4,Right,Grooming_M1,Cry_M1,1,0,1,0,8,0,28,0
11_4M_ZOO,4,51,8/30/19,12/3/23,M,Zoo,1,Right,Grooming_M1,Cry_M1,1,0,1,0,6,0,25,0
